Covid_vaccinated_in_the_world;;;;;
country;iso_alpha;doses_per100;total_dose;vaccinated_in_percentage;fully_vaccinated_in_percentage
U.A.E.;ARE;140.0;13,684,429;0.0;0.0
Israel;ISR;117.0;10,618,819;60.0;57.0
Malta;MLT;115.0;576,256;67.0;50.0
Bahrain;BHR;114.0;1,876,554;62.0;52.0
Aruba;ABW;112.0;119,395;61.0;51.0
Mongolia;MNG;109.0;3,528,572;59.0;51.0
Chile;CHL;107.0;20,223,473;61.0;47.0
U.K.;GBR;105.0;70,253,625;61.0;44.0
Curaçao;CUW;102.0;160,585;55.0;47.0
Qatar;QAT;98.0;2,768,028;56.0;42.0
Hungary;HUN;96.0;9,424,351;54.0;42.0
Uruguay;URY;93.0;3,224,002;60.0;33.0
United States;USA;92.0;306,509,795;52.0;43.0
Maldives;MDV;92.0;489,415;59.0;33.0
Iceland;ISL;88.0;317,082;59.0;36.0
Singapore;SGP;77.0;4,392,067;44.0;33.0
Canada;CDN;75.0;28,240,474;64.0;11.0
Belgium;BEL;71.0;8,175,324;47.0;25.0
Germany;DEU;71.0;59,038,531;48.0;25.0
Serbia;SRB;70.0;4,882,120;38.0;32.0
Denmark;DNK;70.0;4,066,856;45.0;25.0
Lithuania;LTU;69.0;1,933,826;42.0;28.0
Spain;ESP;69.0;32,282,553;45.0;26.0
Italy;ITA;69.0;41,310,662;47.0;23.0
Luxembourg;LUX;68.0;423,029;42.0;26.0
Austria;AUT;68.0;6,043,642;46.0;23.0
Switzerland;CHE;67.0;5,785,134;42.0;26.0
Netherlands;NLD;66.0;11,395,454;45.0;23.0
Portugal;PRT;65.0;6,713,043;43.0;23.0
France;FRA;64.0;43,204,513;45.0;21.0
Bhutan;BTN;63.0;482,716;63.0;0.0
Poland;POL;62.0;23,628,450;40.0;24.0
Greece;GRC;62.0;6,665,626;39.0;25.0
Slovenia;SVN;62.0;1,294,610;36.0;26.0
Finland;FIN;62.0;3,421,475;50.0;12.0
Mainland China;CHN;62.0;863,513,000;0.0;0.0
